                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.3734,                 2.0559,                0.73407,                0.96455,                 0.7737,                0.71298,                0.70759,                0.43243,                0.72794,                0.65948,                0.66644,                 0.2882,                 1.3662,                 2.1422,                0.73012,                0.93821,               0.005347,               0.005347,               0.005347
                     50,                  1.359,                 2.0398,                0.71964,                0.96481,                0.77925,                 0.7145,                0.71348,                0.43537,                0.72045,                0.65906,                 0.6672,                0.28882,                 1.3517,                 2.1405,                0.72183,                 0.9386,               0.005248,               0.005248,               0.005248
                     51,                 1.3598,                 2.0244,                0.72029,                0.95712,                0.77869,                0.71464,                0.71371,                0.43788,                0.71949,                0.66114,                0.67078,                0.29304,                 1.3456,                 2.1397,                 0.7159,                0.93827,               0.005149,               0.005149,               0.005149
                     52,                 1.3595,                 2.0497,                 0.7198,                0.95846,                 0.7783,                0.71784,                0.71084,                0.43439,                0.71816,                0.66155,                 0.6658,                0.29216,                 1.3486,                 2.1314,                0.71857,                 0.9375,                0.00505,                0.00505,                0.00505
                     53,                 1.3481,                 2.0271,                0.71888,                 0.9582,                 0.7809,                0.71548,                0.71302,                0.43775,                 0.7275,                0.67068,                 0.6797,                0.29967,                 1.3493,                 2.1203,                 0.7186,                0.93714,               0.004951,               0.004951,               0.004951
                     54,                  1.346,                 2.0281,                0.71151,                 0.9554,                0.77972,                0.71547,                0.71285,                0.43934,                0.72293,                0.66988,                0.67374,                0.29401,                 1.3328,                 2.1032,                0.71427,                0.93409,               0.004852,               0.004852,               0.004852
                     55,                 1.3322,                 2.0182,                0.70749,                0.95452,                 0.7786,                0.72057,                0.71269,                0.43924,                0.73273,                0.67482,                0.67912,                 0.3006,                 1.3387,                 2.1166,                0.71486,                0.93676,               0.004753,               0.004753,               0.004753
                     56,                 1.3442,                 2.0318,                0.71345,                0.95436,                0.78359,                0.71937,                0.71658,                 0.4413,                0.72554,                0.66445,                0.67246,                0.29636,                 1.3362,                 2.1095,                0.71138,                0.93492,               0.004654,               0.004654,               0.004654
                     57,                 1.3437,                 2.0283,                0.71501,                0.95461,                0.78521,                0.71672,                0.71845,                0.44122,                0.72568,                0.66031,                0.66899,                0.29146,                  1.335,                 2.1122,                0.70717,                0.93477,               0.004555,               0.004555,               0.004555
                     58,                 1.3372,                 2.0095,                0.70827,                0.94887,                0.77919,                0.72045,                0.71518,                0.43976,                0.72018,                0.66902,                0.67439,                0.29739,                 1.3395,                 2.0994,                 0.7093,                0.93561,               0.004456,               0.004456,               0.004456
                     59,                 1.3293,                 1.9764,                0.70124,                0.94987,                0.77967,                0.71672,                0.71596,                0.44076,                 0.7238,                0.66521,                0.67425,                 0.2965,                 1.3406,                 2.1107,                0.70871,                0.93634,               0.004357,               0.004357,               0.004357
                     60,                 1.3448,                  1.991,                0.70914,                0.95309,                0.77704,                 0.7163,                0.71587,                0.44326,                0.71943,                0.66694,                0.67207,                0.29473,                 1.3307,                 2.1116,                0.70638,                0.93511,               0.004258,               0.004258,               0.004258
                     61,                 1.3303,                 2.0105,                0.70675,                0.95082,                0.77857,                0.71751,                0.71327,                 0.4418,                0.72432,                0.66902,                0.67649,                0.29693,                  1.329,                 2.1059,                0.70924,                 0.9337,               0.004159,               0.004159,               0.004159
                     62,                  1.327,                 2.0124,                0.69906,                0.95288,                0.77629,                0.72086,                0.71615,                0.44438,                0.71562,                0.67358,                0.68107,                0.30017,                 1.3291,                 2.1146,                0.70632,                0.93651,                0.00406,                0.00406,                0.00406
                     63,                 1.3252,                  1.965,                0.70185,                0.94658,                0.77802,                0.72211,                 0.7175,                0.44234,                0.73002,                0.67358,                0.68307,                0.29988,                 1.3247,                 2.1135,                0.70707,                0.93457,               0.003961,               0.003961,               0.003961
                     64,                 1.3332,                 2.0124,                0.70847,                0.95526,                0.77746,                0.72045,                0.71751,                 0.4425,                0.72764,                0.66374,                0.67787,                0.29475,                 1.3255,                 2.1082,                0.70567,                 0.9342,               0.003862,               0.003862,               0.003862
                     65,                 1.3036,                 1.9522,                0.69255,                 0.9418,                0.77801,                0.72244,                0.71889,                0.44423,                0.72431,                0.66777,                0.67847,                0.29697,                 1.3268,                  2.099,                0.70361,                0.93294,               0.003763,               0.003763,               0.003763
                     66,                 1.3284,                 1.9983,                0.69934,                0.94351,                0.79147,                0.71464,                0.72214,                 0.4469,                 0.7324,                0.65948,                0.67504,                0.29571,                 1.3246,                 2.0983,                0.70652,                0.93158,               0.003664,               0.003664,               0.003664
