                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3707,                 2.5086,                0.93177,                 1.0629,                0.77018,                0.48979,                0.52532,                0.27768,                0.65741,                0.39654,                0.41762,                0.19208,                 1.8214,                 3.4136,                 1.2044,                 1.1065,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3435,                 2.4407,                0.90214,                 1.0533,                 0.7459,                0.49083,                 0.5271,                0.27868,                0.61183,                0.39602,                0.41276,                0.18969,                 1.8275,                 3.4319,                 1.2234,                 1.0994,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3608,                 2.4455,                0.90742,                 1.0647,                0.77271,                0.48973,                0.53027,                0.28166,                0.64881,                0.39445,                0.42259,                0.20013,                 1.8342,                 3.4339,                 1.2043,                 1.1047,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.3501,                 2.4356,                0.90587,                 1.0581,                0.74303,                0.49817,                0.52584,                0.28112,                0.66333,                0.40492,                0.42985,                0.19789,                 1.8313,                 3.4659,                 1.2014,                 1.1125,               0.000911,               0.000911,               0.000911
                     58,                 1.3188,                 2.4014,                0.88488,                 1.0513,                0.76053,                0.50026,                0.53306,                 0.2847,                0.65236,                0.40754,                0.43933,                0.20336,                  1.816,                 3.4094,                 1.1721,                 1.1023,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3119,                 2.4539,                0.87042,                 1.0445,                0.76087,                0.51337,                0.53736,                0.28671,                0.62423,                0.42273,                0.43704,                0.20223,                 1.8035,                 3.3894,                 1.1814,                 1.1077,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3097,                 2.3837,                0.86843,                 1.0476,                0.75645,                0.51021,                0.53657,                0.28316,                0.60764,                 0.4044,                0.42821,                0.19674,                 1.8391,                 3.4488,                 1.1905,                  1.114,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.3424,                 2.4542,                0.88022,                 1.0486,                 0.7421,                0.50645,                 0.5406,                0.28924,                0.64831,                0.41069,                0.44047,                0.20113,                 1.8065,                 3.4245,                 1.1634,                 1.0984,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3058,                 2.4209,                0.86151,                  1.035,                 0.7489,                0.51089,                0.54024,                0.28842,                 0.6358,                 0.3934,                0.42772,                  0.198,                 1.8148,                 3.4493,                 1.1872,                 1.0923,               0.000812,               0.000812,               0.000812
                     63,                 1.3233,                 2.3878,                0.86033,                 1.0392,                 0.7752,                0.49921,                0.53255,                0.29138,                0.69536,                 0.4175,                0.44601,                0.20949,                 1.7935,                 3.4733,                 1.1866,                 1.0989,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3136,                 2.4178,                0.84791,                 1.0436,                0.75513,                0.50707,                0.53543,                0.28324,                0.65517,                0.39707,                0.42416,                0.19513,                 1.8179,                 3.4984,                 1.1704,                 1.0961,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2721,                 2.3298,                0.82685,                 1.0278,                0.74521,                0.50917,                0.53178,                0.28673,                0.65845,                0.39991,                0.43301,                0.20232,                 1.8086,                 3.4278,                 1.1655,                 1.0988,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.278,                 2.4033,                0.83287,                 1.0284,                0.74023,                0.50445,                0.53434,                0.28401,                0.63045,                0.39707,                0.42227,                0.19344,                 1.8185,                 3.4818,                 1.1798,                 1.0985,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.2954,                 2.4024,                0.85084,                 1.0422,                0.76521,                0.48769,                0.53314,                0.28683,                 0.7024,                0.38204,                 0.4372,                0.20145,                 1.8198,                 3.4357,                 1.1546,                 1.1028,               0.000713,               0.000713,               0.000713
                     68,                 1.2786,                 2.3202,                0.83034,                 1.0241,                0.75907,                0.51074,                0.53317,                0.28458,                0.64686,                0.41383,                0.42795,                 0.1983,                 1.7981,                 3.4722,                 1.1664,                 1.1028,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2701,                 2.3583,                0.80911,                 1.0346,                0.75561,                0.51388,                0.53427,                0.28841,                0.63182,                0.42339,                 0.4371,                 0.2026,                 1.8138,                  3.391,                 1.1599,                 1.1039,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2895,                 2.3714,                0.82042,                 1.0344,                0.76685,                0.50917,                0.54035,                0.28898,                0.63736,                0.40877,                0.42894,                0.20218,                 1.8197,                 3.4996,                 1.1597,                 1.1009,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2873,                 2.3807,                0.82642,                 1.0345,                0.76459,                0.50183,                0.53879,                0.29083,                0.62728,                0.41331,                0.43799,                0.20349,                 1.8175,                 3.4485,                 1.1586,                 1.1023,              0.0006338,              0.0006338,              0.0006338
                     72,                  1.256,                 2.3395,                 0.7949,                 1.0176,                0.74858,                0.51807,                0.53893,                0.28253,                0.59415,                0.40964,                 0.4117,                  0.191,                 1.8235,                 3.4838,                 1.1327,                 1.0973,               0.000614,               0.000614,               0.000614
                     73,                 1.2473,                  2.359,                0.80129,                 1.0192,                0.74409,                0.50917,                0.53343,                0.28915,                0.66422,                0.40178,                0.43549,                0.20261,                 1.8044,                 3.4648,                 1.1539,                 1.1012,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.2656,                 2.3565,                0.81986,                 1.0137,                0.75091,                0.51955,                0.54464,                0.28865,                 0.6112,                0.41645,                0.42884,                0.19903,                 1.8016,                 3.4577,                 1.1527,                 1.0952,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2393,                 2.3519,                0.79285,                 1.0148,                0.72693,                0.52069,                0.53609,                0.29053,                0.58695,                0.42954,                0.43431,                0.20397,                 1.8037,                 3.4132,                 1.1362,                 1.1013,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.263,                 2.3096,                0.79375,                 1.0156,                  0.754,                0.51056,                0.53327,                0.28814,                0.62961,                0.40754,                0.42827,                0.20117,                 1.8159,                 3.4786,                 1.1779,                 1.0986,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2592,                 2.3376,                0.80552,                 1.0184,                0.76295,                0.51254,                0.53766,                0.28757,                0.65794,                0.41069,                0.43931,                0.19921,                  1.808,                 3.4263,                 1.1325,                 1.1021,               0.000515,               0.000515,               0.000515
                     78,                 1.2375,                 2.2841,                0.77132,                 1.0097,                0.74809,                0.51964,                0.54298,                0.28935,                0.62105,                0.40964,                0.43058,                0.19802,                 1.8275,                 3.4866,                 1.1494,                 1.1017,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2343,                 2.3145,                0.78279,                 1.0118,                0.75985,                0.51283,                0.53649,                0.28876,                0.67788,                0.39392,                0.42854,                 0.2009,                 1.8024,                 3.4879,                 1.1441,                 1.0933,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2236,                 2.2912,                0.76565,                 1.0069,                0.75418,                 0.5186,                0.54326,                0.29179,                0.62919,                0.41226,                0.43211,                0.20215,                 1.8111,                 3.4739,                 1.1331,                 1.0991,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2297,                 2.2905,                0.77236,                 1.0062,                 0.7453,                0.52279,                0.54175,                0.29001,                0.68813,                 0.3955,                0.42864,                0.20392,                 1.7898,                 3.4411,                 1.1381,                 1.0953,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2576,                 2.3284,                0.78931,                 1.0154,                0.75685,                0.51388,                0.54112,                0.29096,                0.63081,                0.41278,                0.43325,                0.20297,                 1.7776,                 3.4656,                 1.1292,                 1.0892,               0.000416,               0.000416,               0.000416
                     83,                 1.2075,                 2.2528,                0.75583,                 1.0011,                0.76615,                0.50917,                 0.5448,                0.29372,                0.66953,                0.40545,                0.43764,                0.20102,                  1.798,                 3.4417,                 1.1223,                 1.0989,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2032,                 2.2351,                0.75198,                0.99948,                 0.7564,                0.51283,                0.54429,                 0.2948,                 0.6497,                0.40964,                0.43993,                0.20369,                 1.8035,                 3.4555,                 1.1257,                 1.0972,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2193,                 2.2652,                0.76401,                 1.0018,                0.75281,                0.51336,                0.54533,                0.29703,                0.67984,                0.40492,                0.44543,                0.20557,                 1.7872,                 3.4333,                 1.1241,                 1.0957,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1722,                  2.208,                0.73069,                0.98725,                 0.7488,                0.51441,                0.54747,                0.29417,                0.65205,                0.42012,                0.44513,                0.20883,                 1.7906,                 3.4595,                 1.1152,                 1.0948,              0.0003368,              0.0003368,              0.0003368
                     87,                   1.21,                 2.2476,                0.75623,                0.99613,                0.75583,                0.51021,                0.54035,                0.29298,                 0.6337,                0.42012,                0.44044,                0.20777,                 1.7946,                 3.4563,                 1.1207,                 1.0965,               0.000317,               0.000317,               0.000317
                     88,                 1.1726,                 2.2441,                0.73134,                0.99285,                0.77271,                0.49685,                0.54112,                0.29034,                0.64985,                 0.4023,                0.43276,                0.19955,                 1.7956,                 3.4662,                  1.122,                 1.0997,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1626,                 2.2174,                0.71674,                0.99003,                0.75308,                0.51443,                 0.5448,                0.29219,                0.63785,                0.40754,                0.43689,                0.20193,                 1.7925,                 3.5095,                 1.1231,                 1.0971,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.156,                 2.1622,                0.71566,                0.98022,                0.76199,                0.51318,                0.54609,                0.29664,                0.66939,                 0.4023,                 0.4371,                0.20552,                 1.8013,                 3.5257,                 1.1157,                 1.1009,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.2491,                  2.425,                0.73111,                 1.0007,                0.75587,                0.51283,                0.53401,                 0.2879,                0.66755,                0.40916,                0.43254,                0.20157,                 1.8284,                 3.4611,                 1.1399,                 1.1058,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.226,                  2.379,                0.72632,                 1.0026,                0.75025,                0.51545,                0.54381,                0.29454,                0.66868,                0.40754,                0.44083,                 0.2053,                 1.8055,                 3.4656,                 1.1288,                 1.0969,               0.000218,               0.000218,               0.000218
                     93,                 1.2162,                 2.3087,                  0.713,                0.99656,                0.74466,                 0.5165,                0.53738,                0.29148,                0.63297,                0.41466,                0.43549,                0.20325,                 1.8212,                 3.5192,                 1.1365,                  1.104,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.2151,                 2.3715,                 0.7085,                 0.9884,                0.75239,                 0.5165,                0.53839,                0.29127,                0.64432,                0.41658,                0.43512,                0.20309,                 1.8143,                 3.5172,                 1.1437,                 1.1008,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.2182,                 2.3311,                0.72011,                0.98859,                0.75405,                0.52036,                0.54157,                0.29117,                0.63002,                0.42745,                  0.437,                0.20031,                 1.8227,                 3.5363,                 1.1367,                 1.1049,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.1794,                 2.3128,                0.69773,                0.98271,                0.74175,                0.52488,                0.54316,                0.29288,                0.64669,                0.41383,                0.43528,                0.20065,                 1.8245,                 3.5552,                 1.1353,                  1.103,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1793,                 2.2951,                0.68454,                0.97786,                0.74839,                0.52226,                0.54253,                0.29172,                0.64154,                0.41157,                0.43173,                0.20235,                 1.8251,                 3.5452,                  1.132,                 1.1045,               0.000119,               0.000119,               0.000119
                     98,                 1.1729,                   2.32,                0.69366,                0.97755,                0.74429,                0.51993,                0.54485,                0.29323,                0.64834,                0.41383,                0.43763,                0.20309,                 1.8141,                 3.5116,                 1.1198,                 1.0998,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1736,                 2.3051,                0.68052,                0.98351,                0.75759,                 0.5165,                0.54414,                0.29421,                 0.6472,                0.41705,                0.43304,                0.20336,                 1.8083,                 3.5045,                 1.1244,                 1.0975,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.1708,                  2.248,                0.68602,                0.98356,                0.76517,                0.51598,                0.54414,                0.29386,                0.64849,                0.41488,                0.43432,                0.20365,                  1.812,                 3.5158,                 1.1183,                 1.0967,               5.96e-05,               5.96e-05,               5.96e-05
