                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.3276,                 2.1106,                0.72713,                0.98906,                0.77199,                0.72234,                0.71843,                0.44441,                0.72594,                0.67175,                0.68074,                  0.297,                 1.3387,                 2.3455,                0.72892,                 0.9278,               0.003169,               0.003169,               0.003169
                     72,                 1.3115,                 2.1278,                0.72411,                0.98684,                0.77767,                0.72117,                 0.7201,                0.44391,                0.72706,                0.67254,                0.68093,                0.29832,                 1.3384,                 2.3357,                0.72846,                0.92782,                0.00307,                0.00307,                0.00307
                     73,                 1.3285,                 2.1231,                0.72887,                0.98923,                0.77309,                0.72488,                0.72016,                0.44525,                0.72336,                0.66769,                0.67711,                0.29631,                 1.3375,                  2.332,                0.72773,                0.92719,               0.002971,               0.002971,               0.002971
                     74,                 1.3146,                 2.0987,                 0.7167,                 0.9859,                0.77411,                0.72407,                0.71955,                0.44517,                0.72276,                0.66845,                0.67829,                0.29523,                 1.3378,                 2.3316,                0.72695,                0.92671,               0.002872,               0.002872,               0.002872
                     75,                 1.3081,                 2.0862,                0.71703,                0.98179,                0.77378,                0.72364,                 0.7197,                0.44649,                0.72428,                0.66969,                 0.6803,                0.29494,                 1.3332,                 2.3298,                0.72613,                0.92629,               0.002773,               0.002773,               0.002773
                     76,                 1.2913,                 2.0906,                0.71047,                0.97489,                0.77287,                0.72316,                0.71979,                0.44584,                0.72114,                0.66993,                0.67794,                0.29612,                 1.3307,                 2.3344,                0.72535,                0.92607,               0.002674,               0.002674,               0.002674
                     77,                 1.2994,                 2.0896,                0.71354,                0.98029,                0.77154,                0.72188,                0.71973,                0.44734,                0.72049,                0.67133,                 0.6774,                0.29587,                 1.3293,                   2.33,                0.72425,                0.92611,               0.002575,               0.002575,               0.002575
                     78,                 1.3022,                 2.0818,                0.70934,                0.98227,                0.77167,                0.72104,                0.71945,                0.44695,                0.71854,                0.66928,                0.67528,                0.29508,                 1.3291,                 2.3363,                0.72392,                0.92608,               0.002476,               0.002476,               0.002476
                     79,                 1.3035,                 2.1006,                0.71471,                0.98148,                0.77214,                0.72157,                0.71969,                0.44715,                0.72015,                0.66665,                0.67549,                0.29485,                 1.3293,                 2.3369,                0.72288,                0.92616,               0.002377,               0.002377,               0.002377
                     80,                 1.2942,                  2.055,                0.70109,                0.97566,                0.77185,                0.72117,                0.71925,                0.44705,                0.72415,                0.66495,                0.67642,                0.29576,                 1.3313,                 2.3276,                 0.7233,                0.92625,               0.002278,               0.002278,               0.002278
                     81,                 1.2743,                 2.0448,                0.69649,                0.97752,                0.77168,                0.72117,                0.71959,                0.44754,                0.72334,                 0.6631,                 0.6744,                0.29537,                 1.3315,                 2.3296,                0.72292,                0.92624,               0.002179,               0.002179,               0.002179
                     82,                 1.2991,                 2.0686,                0.71058,                 0.9795,                0.77254,                 0.7218,                0.72093,                0.44825,                0.72323,                0.66351,                0.67478,                0.29678,                 1.3295,                 2.3296,                0.72075,                0.92603,                0.00208,                0.00208,                0.00208
                     83,                 1.2756,                 2.0415,                0.69002,                0.96711,                0.77252,                0.72323,                0.72188,                0.44809,                0.71927,                0.66165,                0.67302,                 0.2968,                 1.3289,                 2.3314,                0.71979,                0.92572,               0.001981,               0.001981,               0.001981
                     84,                  1.283,                 2.0553,                0.68823,                0.97779,                0.77281,                0.72241,                0.72218,                0.44871,                0.71886,                0.66186,                 0.6736,                0.29627,                 1.3262,                 2.3363,                0.71959,                0.92571,               0.001882,               0.001882,               0.001882
                     85,                 1.2833,                 2.0947,                  0.701,                  0.973,                0.77474,                0.72242,                 0.7225,                0.44872,                0.72284,                0.66276,                0.67508,                0.29667,                 1.3264,                 2.3332,                0.71938,                0.92572,               0.001783,               0.001783,               0.001783
                     86,                  1.274,                  2.047,                0.69487,                0.96645,                0.77587,                0.72076,                0.72277,                0.44935,                0.72235,                0.66351,                0.67504,                 0.2967,                 1.3255,                 2.3403,                0.71855,                0.92556,               0.001684,               0.001684,               0.001684
                     87,                 1.2721,                 2.0293,                0.68674,                0.96906,                0.77608,                0.72076,                0.72281,                0.45033,                0.72185,                0.66392,                 0.6757,                0.29678,                 1.3242,                 2.3412,                0.71859,                0.92528,               0.001585,               0.001585,               0.001585
                     88,                 1.2395,                 2.0096,                0.67818,                 0.9584,                0.77582,                0.72035,                 0.7229,                0.45017,                0.72738,                0.66042,                 0.6767,                0.29719,                 1.3234,                 2.3371,                0.71822,                0.92505,               0.001486,               0.001486,               0.001486
                     89,                 1.2672,                 2.0148,                0.67991,                0.96873,                0.78062,                0.71746,                0.72352,                0.44986,                0.72763,                0.66016,                0.67671,                0.29731,                 1.3235,                 2.3376,                0.71745,                0.92531,               0.001387,               0.001387,               0.001387
